week_start,gateway_id,meters_expected,meters_read
2025-08-04,06787526FEB3,47,44
2025-08-04,0683D2A8DA42,69,63
2025-08-04,068553B3AA23,114,106
2025-08-04,0687F36E02C6,302,287
2025-08-04,06903F988F32,338,138
2025-08-04,0693096C4C42,306,271
2025-08-04,069357B9F15F,204,49
2025-08-04,06981FD8AA87,139,115
2025-08-04,069A98DEEB1D,262,151
2025-08-04,06AA1DE70CBF,69,63
2025-08-04,06AAA28A5D6B,172,167
2025-08-04,06AEE181F595,340,304
2025-08-04,06B162DC93E3,168,152
2025-08-04,06B641B75B29,442,120
2025-08-04,06C0D5E3BCDB,251,195
2025-08-04,06C0F27E810B,110,109
2025-08-04,06C67619095C,393,339
2025-08-04,06C77FEA9550,54,47
2025-08-04,06C98DF4F0FA,263,246
2025-08-04,06CE0F3CFB3C,61,44
2025-08-04,06D0342253A0,63,51
2025-08-04,06D388A19D5D,130,127
2025-08-04,06D6B7018E15,306,254
2025-08-04,06D7F6C73E0C,244,240
2025-08-04,06D84598CCB4,122,118
2025-08-04,06DAF11BD38F,418,395
2025-08-04,06DF118D7989,54,48
2025-08-04,06EA136A2996,205,186
2025-08-04,06EDBAE64B57,256,252
2025-08-04,06EEBD283262,99,95
2025-08-04,06EFD61B80ED,154,146
2025-08-04,06F2469B50EF,102,86
2025-08-04,06F2CDBD2C41,150,133
2025-08-04,06F40EA87663,148,140
2025-08-04,06F49BD8F572,149,132
2025-08-04,06FDA7D7B22A,245,212
2025-08-04,06FFEC2EFA5E,249,226
2025-08-04,0A0B47664A85,40,39
2025-08-04,0A10201AFE0A,53,45
2025-08-04,0A1037E90A63,228,220
2025-08-04,0A10A5A5056E,210,173
2025-08-04,0A15BC628AFC,109,92
2025-08-04,0A182EFD3C61,124,113
2025-08-04,0A184A2E46B7,80,20
2025-08-04,0A19C62F4F6D,77,73
2025-08-04,0A1FB1C98A92,131,127
2025-08-04,0A23474F1944,123,111
2025-08-04,0A25F6E3466C,69,16
2025-08-04,0A268A7E40CD,123,122
2025-08-04,0A272C5A2C9B,70,68
2025-08-04,0A2778A31BE3,140,137
2025-08-04,0A3528D089D9,166,155
2025-08-04,0A3983033084,184,165
2025-08-04,0A42B2DB6370,114,111
2025-08-04,0A4673793B3E,549,541
2025-08-04,0A485668F5C0,127,107
2025-08-04,0A4C884F240A,223,209
2025-08-04,0A4E33E2692B,170,154
2025-08-04,0A52DDE896BF,44,40
2025-08-04,0A55DA266F71,120,90
2025-08-04,0A568E79FEF6,94,93
2025-08-04,0A57338657F8,88,82
2025-08-04,0A57A684E20B,153,139
2025-08-04,0A5C1439B384,324,324
2025-08-04,0A5D017E401E,213,203
2025-08-04,0A5E96449374,65,61
2025-08-04,0A61E3165158,199,180
2025-08-04,0A62EECEEBD1,251,238
2025-08-04,0A6324E3E043,143,128
2025-08-04,0A6390E0FBA4,57,51
2025-08-04,0A663B6B4B28,136,94
2025-08-04,0A682ED9C6DD,217,203
2025-08-04,0A68A2032450,136,129
2025-08-04,0A68DF0B3D07,146,141
2025-08-04,0A68F38A6ACF,78,28
2025-08-04,0A6C571A1550,198,189
2025-08-04,0A6D3595373D,152,136
2025-08-04,0A6DA0C82CCB,174,145
2025-08-04,0A71A6F9D6C6,279,249
2025-08-04,0A78FAF47B00,82,72
2025-08-04,0A7AAFDD9E11,248,211
2025-08-04,0A7AC5BDAF86,305,299
2025-08-04,0A800188C20F,204,174
2025-08-04,0A8407CF4D85,236,199
2025-08-04,0A87B8C2734F,154,133
2025-08-04,0A8EA87BB037,320,310
2025-08-04,0A9547C11A56,244,219
2025-08-04,0A96EACD8070,208,40
2025-08-04,0A974F5D7D8C,62,19
2025-08-04,0A9A3BFD6C9B,129,120
2025-08-04,0AA18F330F59,156,127
2025-08-04,0AA2818A7B27,196,175
2025-08-04,0AA296FF247D,273,257
2025-08-04,0AA2F2CAB50B,187,167
2025-08-04,0AA3F18DE550,131,124
2025-08-04,0AA473D2FC17,202,186
2025-08-04,0AA4B065E5A5,125,110
2025-08-04,0AA9051FFFFA,156,137
2025-08-04,0AB410184143,197,176
2025-08-04,0AB5F9C21BF8,258,233
2025-08-04,0AB6B45C775A,199,106
2025-08-04,0AB97B7632EB,245,245
2025-08-04,0ABC8E60F4C1,81,75
2025-08-04,0ABD2E513F79,189,188
2025-08-04,0ABE42BE4165,222,191
2025-08-04,0AC437023B18,138,128
2025-08-04,0AD276FC5E27,147,122
2025-08-04,0AD2C92E9756,198,175
2025-08-04,0ADD02AB693D,204,189
2025-08-04,0AE03793586F,114,105
2025-08-04,0AE21E7A17E4,205,200
2025-08-04,0AE6BF39C720,77,59
2025-08-04,0AEF10F3A994,72,63
2025-08-04,0AF1F0E3B640,120,110
2025-08-04,0AF51D7D0F73,254,211
2025-08-04,0AF8DCB98E4B,43,35
2025-08-04,0AF9846E92DD,169,107
2025-08-04,0AFB7B311996,193,109
2025-08-04,0AFE702BB093,222,190
2025-08-04,0AFFC263C0D9,99,83
2025-08-04,0E03D8F69853,69,57
2025-08-04,0E0A8D6EB6B9,336,193
2025-08-04,0E0C3EB7915D,92,67
2025-08-04,0E0E2996F51A,92,73
2025-08-04,0E113B01A9A2,59,45
2025-08-04,0E11F69747A8,740,684
2025-08-04,0E121B6B8661,128,34
2025-08-04,0E1B6F4DBA34,192,178
2025-08-04,0E1C622E61BC,94,82
2025-08-04,0E1D7CA1DB0C,525,435
2025-08-04,0E21C239D865,274,251
2025-08-04,0E2575C7EE05,225,210
2025-08-04,0E2728C481CA,103,95
2025-08-04,0E293C5E4650,57,49
2025-08-04,0E2DEE345837,262,246
2025-08-04,0E31C429C185,87,82
2025-08-04,0E34282F4B53,209,193
2025-08-04,0E3D06A07E94,113,91
2025-08-04,0E3D96237639,177,174
2025-08-04,0E41CF7F74D5,380,364
2025-08-04,0E462188408C,175,171
2025-08-04,0E4CE5FB4405,398,327
2025-08-04,0E50A5B2E5C4,344,324
2025-08-04,0E543D410B0C,157,154
2025-08-04,0E55F28AB569,99,88
2025-08-04,0E5A9CEA8093,366,199
2025-08-04,0E5CD9B19DCB,281,259
2025-08-04,0E5DFCF65AD4,154,70
2025-08-04,0E61D34F9993,169,156
2025-08-04,0E69783262BE,201,188
2025-08-04,0E69C64B6E57,184,175
2025-08-04,0E6A7794AFC7,251,162
2025-08-04,0E6ACE6D3146,315,302
2025-08-04,0E6D2CBAED41,146,126
2025-08-04,0E752F1B295C,323,299
2025-08-04,0E7A8A5414C2,235,221
2025-08-04,0E892C46A442,150,148
2025-08-04,0E89F7D5B5BD,259,207
2025-08-04,0E8B8566815B,267,124
2025-08-04,0E8CF9CA526F,40,37
2025-08-04,0E8F36DAB9C2,125,84
2025-08-04,0E9761D8EB58,324,271
2025-08-04,0E9A30D927A5,301,268
2025-08-04,0E9DC914D8DF,151,146
2025-08-04,0EA0447DA91C,134,119
2025-08-04,0EA22CFA3A24,141,112
2025-08-04,0EA52A2A7581,144,137
2025-08-04,0EAEFEAEFB09,330,317
2025-08-04,0EB04F2114F4,259,249
2025-08-04,0EB6B31D8AFB,196,172
2025-08-04,0EBF1B27CDE1,61,51
2025-08-04,0EC8A35D0C20,151,141
2025-08-04,0ED0849FD6D8,80,65
2025-08-04,0ED1E9DBD593,282,266
2025-08-04,0ED4052A2763,273,260
2025-08-04,0ED5057ECE3F,357,157
2025-08-04,0EDC7177CCA9,72,68
2025-08-04,0EE071F7B24A,142,137
2025-08-04,0EE09EDA649F,259,215
2025-08-04,0EE317BA7C52,107,45
2025-08-04,0EE51B79E853,97,92
2025-08-04,0EE78E4317BB,92,82
2025-08-04,0EE9497950EE,769,706
2025-08-04,0EEA98D1BFDB,587,529
2025-08-04,0EECB108FF91,138,133
2025-08-04,0EF023E6452D,123,114
2025-08-04,0EF08481B333,247,227
2025-08-04,0EF437108E63,279,252
2025-08-04,0EF47B410B41,137,130
2025-08-04,0EFD600E2623,149,138
2025-08-11,0202CB0A6B1F,166,161
2025-08-11,02043B6BA08B,475,439
2025-08-11,02075B45BF24,146,112
2025-08-11,02091DF7CCB8,128,96
2025-08-11,02097AB58D3C,315,272
2025-08-11,020CC6FB9659,208,194
2025-08-11,02132677328F,311,242
2025-08-11,02142F017781,214,192
2025-08-11,02145826103B,129,125
2025-08-11,0217820BFFB2,162,149
2025-08-11,021D82B56A3F,131,73
2025-08-11,02251388D3A2,92,82
2025-08-11,0228A99EE35A,121,109
2025-08-11,022C6F326E3B,156,134
2025-08-11,022DB47C41AC,136,98
2025-08-11,023015602FAA,179,158
2025-08-11,0230D261A1CD,240,226
2025-08-11,0230EEF72435,351,337
2025-08-11,02314F9A9168,194,181
2025-08-11,023257D29366,221,215
2025-08-11,023270320B57,127,118
2025-08-11,02388A18854F,93,60
2025-08-11,0239AD51B7AF,109,99
2025-08-11,023A663EFD87,202,185
2025-08-11,023AD5204E1C,90,87
2025-08-11,023ADDDECF84,60,17
2025-08-11,02423E0E6E9F,297,274
2025-08-11,024570739DE0,106,89
2025-08-11,02478CD90F3A,106,92
2025-08-11,024DD3A9ADCA,187,172
2025-08-11,024ED433BF7D,86,82
2025-08-11,0253BB40EDA6,281,270
2025-08-11,0257E855DBCE,125,115
2025-08-11,0259991BA036,579,497
2025-08-11,026A6007FA48,208,32
2025-08-11,027137436C87,482,445
2025-08-11,0278E06A2F67,90,80
2025-08-11,0279D2AC6ACE,295,279
2025-08-11,027B2DC4EA84,294,220
2025-08-11,027D07FC97FC,158,138
2025-08-11,027FE9CED489,67,63
2025-08-11,028764AA026E,119,111
2025-08-11,02892F51E1CB,127,107
2025-08-11,0289694A6E5B,155,143
2025-08-11,028B24EADDAD,211,182
2025-08-11,028CC0AE5719,185,169
2025-08-11,0293918A963F,102,97
2025-08-11,02980E461859,122,110
2025-08-11,029A2B32D17E,194,172
2025-08-11,029C03C2BF19,107,58
2025-08-11,029DA26B1A92,109,106
2025-08-11,02A80292CB97,106,102
2025-08-11,02B5C5ADC792,121,103
2025-08-11,02B742646A0E,147,138
2025-08-11,02BAD919855D,82,75
2025-08-11,02BD26A4C3A0,247,235
2025-08-11,02C0F45F31E7,75,17
2025-08-11,02CFFA3A3F35,103,101
2025-08-11,02D49A34B2FE,418,311
2025-08-11,02D4DFEF402A,132,123
2025-08-11,02D7623552C8,141,90
2025-08-11,02DC03A0F1E6,156,149
2025-08-11,02E12310186C,391,347
2025-08-11,02EBC6CD4398,109,96
2025-08-11,02F093C88F2E,127,113
2025-08-11,02F18EEE028A,446,361
2025-08-11,02F56F7C8E0B,167,153
2025-08-11,02F5CE7705EC,387,292
2025-08-11,02F98EB34A7A,321,281
2025-08-11,02FBDD4A2C43,78,37
2025-08-11,060C5773A61B,116,99
2025-08-11,060EE3CB4779,69,31
2025-08-11,06132D7396F8,96,80
2025-08-11,0616F247083A,546,505
2025-08-11,061A4322745C,173,163
2025-08-11,06238EE3BE6C,228,197
2025-08-11,062EA113798F,179,156
2025-08-11,0634F78DB4C5,68,63
2025-08-11,0639EA5602C1,113,107
2025-08-11,0644582257D9,140,125
2025-08-11,064AED1EC0AA,195,163
2025-08-11,064BE19B0A9E,143,136
2025-08-11,064C94C771EC,205,183
2025-08-11,064E66B5367B,208,201
2025-08-11,06509A84E873,269,266
2025-08-11,065B928716CD,108,91
2025-08-11,065C003A8D0C,267,247
2025-08-11,066430BA5119,399,358
2025-08-11,0665C3FE6D67,169,154
2025-08-11,06711BE6AD2A,117,102
2025-08-11,06787526FEB3,47,40
2025-08-11,0683D2A8DA42,69,64
2025-08-11,068553B3AA23,114,109
2025-08-11,0687F36E02C6,302,285
2025-08-11,06903F988F32,338,79
2025-08-11,0693096C4C42,306,280
2025-08-11,069357B9F15F,204,61
2025-08-11,06981FD8AA87,139,116
2025-08-11,069A98DEEB1D,262,179
2025-08-11,06AA1DE70CBF,69,68
2025-08-11,06AAA28A5D6B,172,160
2025-08-11,06AEE181F595,340,219
2025-08-11,06B162DC93E3,168,161
2025-08-11,06B641B75B29,442,97
2025-08-11,06C0D5E3BCDB,251,210
2025-08-11,06C0F27E810B,110,104
2025-08-11,06C67619095C,393,344
2025-08-11,06C77FEA9550,54,50
2025-08-11,06C98DF4F0FA,263,250
2025-08-11,06CE0F3CFB3C,61,33
2025-08-11,06D0342253A0,63,52
2025-08-11,06D388A19D5D,130,121
2025-08-11,06D6B7018E15,306,287
2025-08-11,06D7F6C73E0C,244,229
2025-08-11,06D84598CCB4,122,110
2025-08-11,06DAF11BD38F,418,392
2025-08-11,06DF118D7989,54,48
2025-08-11,06EA136A2996,205,199
2025-08-11,06EDBAE64B57,256,226
2025-08-11,06EEBD283262,99,96
2025-08-11,06EFD61B80ED,154,148
2025-08-11,06F2469B50EF,102,91
2025-08-11,06F2CDBD2C41,150,120
2025-08-11,06F40EA87663,148,142
2025-08-11,06F49BD8F572,149,132
2025-08-11,06FDA7D7B22A,245,187
2025-08-11,06FFEC2EFA5E,249,235
2025-08-11,0A0B47664A85,40,37
2025-08-11,0A10201AFE0A,53,50
2025-08-11,0A1037E90A63,228,209
2025-08-11,0A10A5A5056E,210,168
2025-08-11,0A15BC628AFC,109,93
2025-08-11,0A182EFD3C61,124,111
2025-08-11,0A184A2E46B7,80,29
2025-08-11,0A19C62F4F6D,77,76
2025-08-11,0A1FB1C98A92,131,122
2025-08-11,0A23474F1944,123,119
2025-08-11,0A25F6E3466C,69,10
2025-08-11,0A268A7E40CD,123,112
2025-08-11,0A272C5A2C9B,70,67
2025-08-11,0A2778A31BE3,140,130
2025-08-11,0A3528D089D9,166,153
2025-08-11,0A3983033084,184,163
2025-08-11,0A42B2DB6370,114,112
2025-08-11,0A4673793B3E,549,525
2025-08-11,0A485668F5C0,127,114
2025-08-11,0A4C884F240A,223,194
2025-08-11,0A4E33E2692B,170,151
2025-08-11,0A52DDE896BF,44,36
2025-08-11,0A55DA266F71,120,98
2025-08-11,0A568E79FEF6,94,94
2025-08-11,0A57338657F8,88,85
2025-08-11,0A57A684E20B,153,142
2025-08-11,0A5C1439B384,324,309
2025-08-11,0A5D017E401E,213,203
2025-08-11,0A5E96449374,65,55
2025-08-11,0A61E3165158,199,174
2025-08-11,0A62EECEEBD1,251,237
2025-08-11,0A6324E3E043,143,135
2025-08-11,0A6390E0FBA4,57,50
2025-08-11,0A663B6B4B28,136,70
2025-08-11,0A682ED9C6DD,217,181
2025-08-11,0A68A2032450,136,117
2025-08-11,0A68DF0B3D07,146,136
2025-08-11,0A68F38A6ACF,78,23
2025-08-11,0A6C571A1550,198,191
2025-08-11,0A6D3595373D,152,142
2025-08-11,0A6DA0C82CCB,174,153
2025-08-11,0A71A6F9D6C6,279,258
2025-08-11,0A78FAF47B00,82,68
2025-08-11,0A7AAFDD9E11,248,188
2025-08-11,0A7AC5BDAF86,305,292
2025-08-11,0A800188C20F,204,175
2025-08-11,0A8407CF4D85,236,197
2025-08-11,0A87B8C2734F,154,138
2025-08-11,0A8EA87BB037,320,292
2025-08-11,0A9547C11A56,244,227
2025-08-11,0A96EACD8070,208,25
2025-08-11,0A974F5D7D8C,62,14
2025-08-11,0A9A3BFD6C9B,129,122
2025-08-11,0AA18F330F59,156,126
2025-08-11,0AA2818A7B27,196,187
2025-08-11,0AA296FF247D,273,256
2025-08-11,0AA2F2CAB50B,187,148
2025-08-11,0AA3F18DE550,131,125
2025-08-11,0AA473D2FC17,202,196
2025-08-11,0AA4B065E5A5,125,117
2025-08-11,0AA9051FFFFA,156,152
2025-08-11,0AB410184143,197,178
2025-08-11,0AB5F9C21BF8,258,223
2025-08-11,0AB6B45C775A,199,89
2025-08-11,0AB97B7632EB,245,224
2025-08-11,0ABC8E60F4C1,81,66
2025-08-11,0ABD2E513F79,189,162
2025-08-11,0ABE42BE4165,222,206
2025-08-11,0AC437023B18,138,127
2025-08-11,0AD276FC5E27,147,122
2025-08-11,0AD2C92E9756,198,179
2025-08-11,0ADD02AB693D,204,189
2025-08-11,0AE03793586F,114,100
2025-08-11,0AE21E7A17E4,205,197
2025-08-11,0AE6BF39C720,77,67
2025-08-11,0AEF10F3A994,72,65
2025-08-11,0AF1F0E3B640,120,111
2025-08-11,0AF51D7D0F73,254,213
2025-08-11,0AF8DCB98E4B,43,39
2025-08-11,0AF9846E92DD,169,98
2025-08-11,0AFB7B311996,193,69
2025-08-11,0AFE702BB093,222,203
2025-08-11,0AFFC263C0D9,99,95
2025-08-11,0E03D8F69853,69,58
2025-08-11,0E0A8D6EB6B9,336,239
2025-08-11,0E0C3EB7915D,92,85
2025-08-11,0E0E2996F51A,92,81
2025-08-11,0E113B01A9A2,59,49
2025-08-11,0E11F69747A8,740,717
2025-08-11,0E121B6B8661,128,56
2025-08-11,0E1B6F4DBA34,192,171
2025-08-11,0E1C622E61BC,94,84
2025-08-11,0E1D7CA1DB0C,525,495
2025-08-11,0E21C239D865,274,244
2025-08-11,0E2575C7EE05,225,201
2025-08-11,0E2728C481CA,103,96
2025-08-11,0E293C5E4650,57,50
2025-08-11,0E2DEE345837,262,243
2025-08-11,0E31C429C185,87,84
2025-08-11,0E34282F4B53,209,191
2025-08-11,0E3D06A07E94,113,95
2025-08-11,0E3D96237639,177,173
2025-08-11,0E41CF7F74D5,380,351
2025-08-11,0E462188408C,175,170
2025-08-11,0E4CE5FB4405,398,351
2025-08-11,0E50A5B2E5C4,344,310
2025-08-11,0E543D410B0C,157,147
2025-08-11,0E55F28AB569,99,89
2025-08-11,0E5A9CEA8093,366,258
2025-08-11,0E5CD9B19DCB,281,255
2025-08-11,0E5DFCF65AD4,154,73
2025-08-11,0E61D34F9993,169,150
2025-08-11,0E69783262BE,201,199
2025-08-11,0E69C64B6E57,184,165
2025-08-11,0E6A7794AFC7,251,115
2025-08-11,0E6ACE6D3146,315,302
2025-08-11,0E6D2CBAED41,146,129
2025-08-11,0E752F1B295C,323,310
2025-08-11,0E7A8A5414C2,235,227
2025-08-11,0E892C46A442,150,148
2025-08-11,0E89F7D5B5BD,259,228
2025-08-11,0E8B8566815B,267,182
2025-08-11,0E8CF9CA526F,40,37
2025-08-11,0E8F36DAB9C2,125,93
2025-08-11,0E9761D8EB58,324,265
2025-08-11,0E9A30D927A5,301,270
2025-08-11,0E9DC914D8DF,151,145
2025-08-11,0EA0447DA91C,134,107
2025-08-11,0EA22CFA3A24,141,116
2025-08-11,0EA52A2A7581,144,134
2025-08-11,0EAEFEAEFB09,330,309
2025-08-11,0EB04F2114F4,259,252
2025-08-11,0EB6B31D8AFB,196,176
2025-08-11,0EBF1B27CDE1,61,54
2025-08-11,0EC8A35D0C20,151,90
2025-08-11,0ED0849FD6D8,80,66
2025-08-11,0ED1E9DBD593,282,234
2025-08-11,0ED4052A2763,273,251
2025-08-11,0ED5057ECE3F,357,173
2025-08-11,0EDC7177CCA9,72,65
2025-08-11,0EE071F7B24A,142,136
2025-08-11,0EE09EDA649F,259,229
2025-08-11,0EE317BA7C52,107,51
2025-08-11,0EE51B79E853,97,89
2025-08-11,0EE78E4317BB,92,80
2025-08-11,0EE9497950EE,769,735
2025-08-11,0EEA98D1BFDB,587,529
2025-08-11,0EECB108FF91,138,138
2025-08-11,0EF023E6452D,123,119
2025-08-11,0EF08481B333,247,237
2025-08-11,0EF437108E63,279,248
2025-08-11,0EF47B410B41,137,131
2025-08-11,0EFD600E2623,149,133
2025-08-18,0202CB0A6B1F,166,158
2025-08-18,02043B6BA08B,475,436
2025-08-18,02075B45BF24,146,123
2025-08-18,02091DF7CCB8,128,105
2025-08-18,02097AB58D3C,315,276
2025-08-18,020CC6FB9659,208,198
2025-08-18,02132677328F,311,258
2025-08-18,02142F017781,214,189
2025-08-18,02145826103B,129,118
2025-08-18,0217820BFFB2,162,151
2025-08-18,021D82B56A3F,131,32
2025-08-18,02251388D3A2,92,85
2025-08-18,0228A99EE35A,121,116
2025-08-18,022C6F326E3B,156,142
2025-08-18,022DB47C41AC,136,105
2025-08-18,023015602FAA,179,168
2025-08-18,0230D261A1CD,240,232
2025-08-18,0230EEF72435,351,342
2025-08-18,02314F9A9168,194,176
2025-08-18,023257D29366,221,208
2025-08-18,023270320B57,127,123
2025-08-18,02388A18854F,93,65
2025-08-18,0239AD51B7AF,109,95
2025-08-18,023A663EFD87,202,178
2025-08-18,023AD5204E1C,90,90
2025-08-18,023ADDDECF84,60,24
2025-08-18,02423E0E6E9F,297,257
2025-08-18,024570739DE0,106,95
2025-08-18,02478CD90F3A,106,100
2025-08-18,024DD3A9ADCA,187,177
2025-08-18,024ED433BF7D,86,78
2025-08-18,0253BB40EDA6,281,256
2025-08-18,0257E855DBCE,125,116
2025-08-18,0259991BA036,579,493
2025-08-18,026A6007FA48,208,32
2025-08-18,027137436C87,482,445
2025-08-18,0278E06A2F67,90,82
2025-08-18,0279D2AC6ACE,295,269
2025-08-18,027B2DC4EA84,294,240
2025-08-18,027D07FC97FC,158,131
2025-08-18,027FE9CED489,67,63
2025-08-18,028764AA026E,119,115
2025-08-18,02892F51E1CB,127,85
2025-08-18,0289694A6E5B,155,141
2025-08-18,028B24EADDAD,211,187
2025-08-18,028CC0AE5719,185,172
2025-08-18,0293918A963F,102,95
2025-08-18,02980E461859,122,115
2025-08-18,029A2B32D17E,194,167
2025-08-18,029C03C2BF19,107,40
2025-08-18,029DA26B1A92,109,101
2025-08-18,02A80292CB97,106,87
2025-08-18,02B5C5ADC792,121,110
2025-08-18,02B742646A0E,147,143
2025-08-18,02BAD919855D,82,77
2025-08-18,02BD26A4C3A0,247,237
2025-08-18,02C0F45F31E7,75,27
2025-08-18,02CFFA3A3F35,103,98
2025-08-18,02D49A34B2FE,418,357
2025-08-18,02D4DFEF402A,132,132
2025-08-18,02D7623552C8,141,79
2025-08-18,02DC03A0F1E6,156,146
2025-08-18,02E12310186C,391,377
2025-08-18,02EBC6CD4398,109,106
2025-08-18,02F093C88F2E,127,110
2025-08-18,02F18EEE028A,446,380
2025-08-18,02F56F7C8E0B,167,160
2025-08-18,02F5CE7705EC,387,192
2025-08-18,02F98EB34A7A,321,292
2025-08-18,02FBDD4A2C43,78,28
2025-08-18,060C5773A61B,116,103
2025-08-18,060EE3CB4779,69,29
2025-08-18,06132D7396F8,96,80
2025-08-18,0616F247083A,546,497
2025-08-18,061A4322745C,173,148
2025-08-18,06238EE3BE6C,228,206
2025-08-18,062EA113798F,179,158
2025-08-18,0634F78DB4C5,68,56
2025-08-18,0639EA5602C1,113,113
2025-08-18,0644582257D9,140,129
2025-08-18,064AED1EC0AA,195,164
2025-08-18,064BE19B0A9E,143,133
2025-08-18,064C94C771EC,205,191
2025-08-18,064E66B5367B,208,197
2025-08-18,06509A84E873,269,255
2025-08-18,065B928716CD,108,84
2025-08-18,065C003A8D0C,267,226
2025-08-18,066430BA5119,399,382
2025-08-18,0665C3FE6D67,169,156
2025-08-18,06711BE6AD2A,117,105
2025-08-18,06787526FEB3,47,35
2025-08-18,0683D2A8DA42,69,61
2025-08-18,068553B3AA23,114,111
2025-08-18,0687F36E02C6,302,286
2025-08-18,06903F988F32,338,48
2025-08-18,0693096C4C42,306,290
2025-08-18,069357B9F15F,204,98
2025-08-18,06981FD8AA87,139,134
2025-08-18,069A98DEEB1D,262,197
2025-08-18,06AA1DE70CBF,69,61
2025-08-18,06AAA28A5D6B,172,151
2025-08-18,06AEE181F595,340,177
2025-08-18,06B162DC93E3,168,158
2025-08-18,06B641B75B29,442,87
2025-08-18,06C0D5E3BCDB,251,214
2025-08-18,06C0F27E810B,110,106
2025-08-18,06C67619095C,393,348
2025-08-18,06C77FEA9550,54,48
2025-08-18,06C98DF4F0FA,263,262
2025-08-18,06CE0F3CFB3C,61,24
2025-08-18,06D0342253A0,63,58
2025-08-18,06D388A19D5D,130,126
2025-08-18,06D6B7018E15,306,271
2025-08-18,06D7F6C73E0C,244,230
2025-08-18,06D84598CCB4,122,113
2025-08-18,06DAF11BD38F,418,390
2025-08-18,06DF118D7989,54,48
2025-08-18,06EA136A2996,205,187
2025-08-18,06EDBAE64B57,256,245
2025-08-18,06EEBD283262,99,95
2025-08-18,06EFD61B80ED,154,146
2025-08-18,06F2469B50EF,102,94
2025-08-18,06F2CDBD2C41,150,129
2025-08-18,06F40EA87663,148,140
2025-08-18,06F49BD8F572,149,139
