visit_id,gateway_id,requested_on,visited_on,reason_reported,outcome,parts_replaced,technician_hours
WO-2025-00045,0E:0C:3E:B7:91:5D,2025-03-03,2025-03-07,Signal schwach,Kein Fehler gefunden,,0.91
WO-2025-00050,02:79:D2:AC:6A:CE,2025-03-04,2025-03-17,Kunde meldet Ausfall,Kein Fehler gefunden,,1.56
WO-2025-00040,02:D4:DF:EF:40:2A,2025-03-04,2025-03-20,Zaehler nicht gelesen,Kein Fehler gefunden,,1.4
WO-2025-00046,02:09:7A:B5:8D:3C,2025-03-05,2025-03-10,Routinepruefung,Kein Zugang,,0.62
WO-2025-00052,02:13:26:77:32:8F,2025-03-05,2025-03-10,Keine Verbindung,Fehler behoben,,2.93
WO-2025-00051,0E:1B:6F:4D:BA:34,2025-03-05,2025-03-20,Haeufige Neustarts,Kein Fehler gefunden,,0.57
WO-2025-00043,0E:E3:17:BA:7C:52,2025-03-05,2025-03-16,Kunde meldet Ausfall,Kein Fehler gefunden,,0.57
WO-2025-00039,02:3A:66:3E:FD:87,2025-03-06,2025-03-18,Zaehler nicht gelesen,Kein Fehler gefunden,,1.52
WO-2025-00042,0A:4C:88:4F:24:0A,2025-03-06,2025-03-21,Keine Verbindung,Fehler behoben,Gateway getauscht,2.38
WO-2025-00047,0E:7A:8A:54:14:C2,2025-03-06,2025-03-21,Signal schwach,Kein Fehler gefunden,,1.42
WO-2025-00049,0E:D1:E9:DB:D5:93,2025-03-06,2025-03-20,Signal schwach,Kein Fehler gefunden,,0.95
WO-2025-00048,0E:DC:71:77:CC:A9,2025-03-06,2025-03-17,Haeufige Neustarts,Kein Fehler gefunden,,0.64
WO-2025-00053,02:3A:DD:DE:CF:84,2025-03-07,2025-03-21,Kunde meldet Ausfall,Fehler behoben,Antenne,1.69
WO-2025-00056,02:32:70:32:0B:57,2025-03-10,2025-03-26,Signal schwach,Kein Zugang,,1.69
WO-2025-00058,0A:BC:8E:60:F4:C1,2025-03-10,2025-03-15,Auffaellige Statistik,Kein Zugang,,1.64
WO-2025-00059,0E:E5:1B:79:E8:53,2025-03-10,2025-03-19,Haeufige Neustarts,Kein Fehler gefunden,,0.84
WO-2025-00066,0E:21:C2:39:D8:65,2025-03-11,2025-03-23,Signal schwach,Kein Fehler gefunden,,1.88
WO-2025-00061,0E:6A:CE:6D:31:46,2025-03-11,2025-03-28,Routinepruefung,Kein Fehler gefunden,,0.66
WO-2025-00064,02:7F:E9:CE:D4:89,2025-03-12,2025-03-27,Signal schwach,Kein Fehler gefunden,,1.35
WO-2025-00055,0A:F9:84:6E:92:DD,2025-03-12,2025-03-18,Kunde meldet Ausfall,Fehler behoben,Gateway getauscht,2.56
WO-2025-00054,0E:75:2F:1B:29:5C,2025-03-12,2025-03-14,Haeufige Neustarts,Kein Fehler gefunden,,1.83
WO-2025-00062,0E:9A:30:D9:27:A5,2025-03-12,2025-03-17,Routinepruefung,Kein Fehler gefunden,,0.92
WO-2025-00067,0A:0B:47:66:4A:85,2025-03-13,2025-03-27,Haeufige Neustarts,Kein Fehler gefunden,,1.33
WO-2025-00060,0A:18:4A:2E:46:B7,2025-03-13,2025-03-16,Routinepruefung,Kein Zugang,,1.2
WO-2025-00065,0A:A2:96:FF:24:7D,2025-03-13,2025-03-16,Zaehler nicht gelesen,Kein Fehler gefunden,,1.48
WO-2025-00057,02:4E:D4:33:BF:7D,2025-03-14,2025-03-22,Haeufige Neustarts,Fehler behoben,Netzteil,3.16
WO-2025-00063,0E:F4:37:10:8E:63,2025-03-14,2025-03-16,Kunde meldet Ausfall,Kein Fehler gefunden,,1.62
WO-2025-00076,02:53:BB:40:ED:A6,2025-03-17,2025-03-23,Routinepruefung,Kein Fehler gefunden,,1.44
WO-2025-00068,02:E1:23:10:18:6C,2025-03-17,2025-04-03,Keine Verbindung,Fehler behoben,SIM-Karte,1.4
WO-2025-00080,06:C7:7F:EA:95:50,2025-03-17,2025-03-26,Signal schwach,Kein Fehler gefunden,,0.69
WO-2025-00079,0A:C4:37:02:3B:18,2025-03-17,2025-03-23,Routinepruefung,Kein Fehler gefunden,,1.12
WO-2025-00073,0A:F8:DC:B9:8E:4B,2025-03-17,2025-03-25,Zaehler nicht gelesen,Fehler behoben,Antenne,3.47
WO-2025-00070,0E:0A:8D:6E:B6:B9,2025-03-17,2025-03-23,Auffaellige Statistik,Kein Fehler gefunden,,1.86
WO-2025-00072,02:2C:6F:32:6E:3B,2025-03-18,2025-04-04,Signal schwach,Kein Fehler gefunden,,0.8
WO-2025-00071,02:CF:FA:3A:3F:35,2025-03-18,2025-04-03,Zaehler nicht gelesen,Fehler behoben,Gateway getauscht,2.48
WO-2025-00077,02:D7:62:35:52:C8,2025-03-18,2025-03-23,Signal schwach,Kein Fehler gefunden,,1.45
WO-2025-00081,06:F2:CD:BD:2C:41,2025-03-18,2025-03-27,Zaehler nicht gelesen,Fehler behoben,SIM-Karte,2.48
WO-2025-00078,0E:A5:2A:2A:75:81,2025-03-19,2025-04-04,Routinepruefung,Kein Fehler gefunden,,0.63
WO-2025-00075,02:39:AD:51:B7:AF,2025-03-20,2025-03-27,Keine Verbindung,Fehler behoben,Antenne,3.03
WO-2025-00082,02:F1:8E:EE:02:8A,2025-03-20,2025-04-05,Keine Verbindung,Kein Fehler gefunden,,0.77
WO-2025-00069,0A:FF:C2:63:C0:D9,2025-03-20,2025-03-26,Auffaellige Statistik,Kein Fehler gefunden,,1.8
WO-2025-00074,0A:26:8A:7E:40:CD,2025-03-21,2025-04-03,Haeufige Neustarts,Fehler behoben,Antenne,2.85
WO-2025-00085,0A:9A:3B:FD:6C:9B,2025-03-24,2025-04-08,Signal schwach,Kein Fehler gefunden,,0.66
WO-2025-00083,0E:1C:62:2E:61:BC,2025-03-24,2025-04-08,Signal schwach,Kein Fehler gefunden,,1.06
WO-2025-00089,0E:6D:2C:BA:ED:41,2025-03-24,2025-03-31,Routinepruefung,Kein Fehler gefunden,,1.51
WO-2025-00090,0E:AE:FE:AE:FB:09,2025-03-24,2025-04-06,Signal schwach,Kein Fehler gefunden,,0.94
WO-2025-00091,02:17:82:0B:FF:B2,2025-03-25,2025-04-10,Keine Verbindung,Fehler behoben,Kabel,2.8
WO-2025-00084,06:F4:9B:D8:F5:72,2025-03-25,2025-04-04,Signal schwach,Kein Fehler gefunden,,0.63
WO-2025-00092,06:44:58:22:57:D9,2025-03-26,2025-04-02,Auffaellige Statistik,Kein Fehler gefunden,,1.62
WO-2025-00095,0A:84:07:CF:4D:85,2025-03-26,2025-04-06,Keine Verbindung,Fehler behoben,Antenne,1.53
WO-2025-00088,0E:31:C4:29:C1:85,2025-03-26,2025-03-30,Signal schwach,Kein Fehler gefunden,,1.76
WO-2025-00094,0E:55:F2:8A:B5:69,2025-03-26,2025-03-31,Routinepruefung,Kein Fehler gefunden,,0.7
WO-2025-00086,0A:57:33:86:57:F8,2025-03-27,2025-04-09,Signal schwach,Kein Fehler gefunden,,0.82
WO-2025-00093,02:87:64:AA:02:6E,2025-03-28,2025-04-14,Auffaellige Statistik,Kein Fehler gefunden,,1.03
WO-2025-00087,0A:D2:C9:2E:97:56,2025-03-28,2025-04-12,Zaehler nicht gelesen,Kein Fehler gefunden,,1.12
WO-2025-00105,06:4E:66:B5:36:7B,2025-03-31,2025-04-04,Auffaellige Statistik,Kein Fehler gefunden,,1.83
WO-2025-00108,06:93:09:6C:4C:42,2025-03-31,2025-04-09,Routinepruefung,Kein Fehler gefunden,,1.73
WO-2025-00106,0E:11:3B:01:A9:A2,2025-03-31,2025-04-12,Keine Verbindung,Fehler behoben,,3.59
WO-2025-00104,0A:10:A5:A5:05:6E,2025-04-01,2025-04-07,Auffaellige Statistik,Kein Zugang,,1.62
WO-2025-00103,0A:19:C6:2F:4F:6D,2025-04-01,2025-04-04,Signal schwach,Kein Fehler gefunden,,1.49
WO-2025-00096,0E:46:21:88:40:8C,2025-04-01,2025-04-07,Zaehler nicht gelesen,Fehler behoben,,3.4
WO-2025-00099,0E:89:F7:D5:B5:BD,2025-04-01,2025-04-13,Haeufige Neustarts,Fehler behoben,Gateway getauscht,1.93
WO-2025-00101,0E:F0:23:E6:45:2D,2025-04-01,2025-04-10,Keine Verbindung,Fehler behoben,Kabel,2.89
WO-2025-00107,06:AE:E1:81:F5:95,2025-04-02,2025-04-14,Auffaellige Statistik,Kein Fehler gefunden,,0.9
WO-2025-00097,02:1D:82:B5:6A:3F,2025-04-03,2025-04-17,Haeufige Neustarts,Fehler behoben,,1.93
WO-2025-00098,0A:52:DD:E8:96:BF,2025-04-03,2025-04-10,Auffaellige Statistik,Kein Fehler gefunden,,1.78
WO-2025-00102,0A:A2:F2:CA:B5:0B,2025-04-03,2025-04-05,Haeufige Neustarts,Kein Fehler gefunden,,1.82
WO-2025-00100,0E:0E:29:96:F5:1A,2025-04-04,2025-04-14,Auffaellige Statistik,Kein Fehler gefunden,,1.56
WO-2025-00114,06:23:8E:E3:BE:6C,2025-04-07,2025-04-20,Auffaellige Statistik,Kein Fehler gefunden,,0.7
WO-2025-00111,0E:3D:06:A0:7E:94,2025-04-07,2025-04-21,Keine Verbindung,Fehler behoben,Antenne,2.09
WO-2025-00112,02:C0:F4:5F:31:E7,2025-04-08,2025-04-12,Kunde meldet Ausfall,Kein Fehler gefunden,,1.6
WO-2025-00116,06:DA:F1:1B:D3:8F,2025-04-08,2025-04-21,Auffaellige Statistik,Kein Fehler gefunden,,1.89
WO-2025-00122,02:04:3B:6B:A0:8B,2025-04-09,2025-04-24,Routinepruefung,Kein Fehler gefunden,,1.32
WO-2025-00120,06:B1:62:DC:93:E3,2025-04-09,2025-04-23,Haeufige Neustarts,Kein Fehler gefunden,,1.28
WO-2025-00109,0A:7A:AF:DD:9E:11,2025-04-09,2025-04-19,Haeufige Neustarts,Fehler behoben,Gateway getauscht,2.87
WO-2025-00118,0E:2D:EE:34:58:37,2025-04-09,2025-04-24,Signal schwach,Kein Fehler gefunden,,0.61
WO-2025-00117,0E:89:2C:46:A4:42,2025-04-09,2025-04-18,Kunde meldet Ausfall,Kein Fehler gefunden,,1.71
WO-2025-00123,02:B5:C5:AD:C7:92,2025-04-10,2025-04-22,Haeufige Neustarts,Kein Fehler gefunden,,1.5
WO-2025-00113,0A:78:FA:F4:7B:00,2025-04-10,2025-04-18,Kunde meldet Ausfall,Fehler behoben,,2.5
WO-2025-00119,0A:95:47:C1:1A:56,2025-04-10,2025-04-27,Auffaellige Statistik,Kein Fehler gefunden,,0.54
WO-2025-00121,0E:E3:17:BA:7C:52,2025-04-10,2025-04-20,Routinepruefung,Kein Fehler gefunden,,1.78
WO-2025-00110,0A:66:3B:6B:4B:28,2025-04-11,2025-04-20,Zaehler nicht gelesen,Fehler behoben,Gateway getauscht,1.7
WO-2025-00115,0A:FE:70:2B:B0:93,2025-04-11,2025-04-15,Kunde meldet Ausfall,Fehler behoben,Netzteil,1.36
WO-2025-00132,02:07:5B:45:BF:24,2025-04-14,2025-04-20,Routinepruefung,Kein Fehler gefunden,,1.74
WO-2025-00125,02:32:70:32:0B:57,2025-04-14,2025-04-29,Signal schwach,Kein Zugang,,0.62
WO-2025-00124,0A:55:DA:26:6F:71,2025-04-14,2025-04-24,Zaehler nicht gelesen,Fehler behoben,Gateway getauscht,1.57
WO-2025-00135,0E:EC:B1:08:FF:91,2025-04-14,2025-05-01,Auffaellige Statistik,Kein Fehler gefunden,,0.61
WO-2025-00131,06:0C:57:73:A6:1B,2025-04-15,2025-04-20,Routinepruefung,Kein Fehler gefunden,,1.15
WO-2025-00127,06:D3:88:A1:9D:5D,2025-04-16,2025-05-02,Signal schwach,Kein Fehler gefunden,,1.73
WO-2025-00133,0A:25:F6:E3:46:6C,2025-04-16,2025-04-28,Routinepruefung,Kein Fehler gefunden,,0.51
WO-2025-00134,0A:4C:88:4F:24:0A,2025-04-16,2025-04-23,Signal schwach,Kein Fehler gefunden,,1.08
WO-2025-00129,0A:4E:33:E2:69:2B,2025-04-16,2025-04-20,Haeufige Neustarts,Kein Fehler gefunden,,0.61
WO-2025-00128,02:30:D2:61:A1:CD,2025-04-17,2025-05-01,Kunde meldet Ausfall,Kein Fehler gefunden,,1.47
WO-2025-00137,02:4D:D3:A9:AD:CA,2025-04-17,2025-04-22,Keine Verbindung,Fehler behoben,Gateway getauscht,2.37
WO-2025-00126,06:98:1F:D8:AA:87,2025-04-18,2025-04-28,Kunde meldet Ausfall,Kein Fehler gefunden,,1.64
WO-2025-00138,06:F4:0E:A8:76:63,2025-04-18,2025-05-04,Routinepruefung,Kein Fehler gefunden,,0.5
WO-2025-00130,0E:F4:37:10:8E:63,2025-04-18,2025-05-03,Keine Verbindung,Fehler behoben,SIM-Karte,2.03
WO-2025-00136,0E:F4:7B:41:0B:41,2025-04-18,2025-04-27,Zaehler nicht gelesen,Fehler behoben,Kabel,3.68
WO-2025-00141,0A:68:2E:D9:C6:DD,2025-04-21,2025-05-06,Haeufige Neustarts,Fehler behoben,,1.77
WO-2025-00150,0A:D2:76:FC:5E:27,2025-04-21,2025-05-02,Haeufige Neustarts,Fehler behoben,Netzteil,2.24
WO-2025-00148,0E:8B:85:66:81:5B,2025-04-21,2025-05-03,Kunde meldet Ausfall,Kein Fehler gefunden,,1.28
WO-2025-00140,02:53:BB:40:ED:A6,2025-04-22,2025-05-01,Kunde meldet Ausfall,Fehler behoben,Kabel,2.64
WO-2025-00152,0E:E0:71:F7:B2:4A,2025-04-22,2025-05-01,Kunde meldet Ausfall,Kein Fehler gefunden,,0.82
WO-2025-00151,02:13:26:77:32:8F,2025-04-23,2025-05-09,Haeufige Neustarts,Fehler behoben,Netzteil,2.93
WO-2025-00149,06:C7:7F:EA:95:50,2025-04-23,2025-05-01,Keine Verbindung,Fehler behoben,SIM-Karte,2.99
WO-2025-00146,02:3A:66:3E:FD:87,2025-04-24,2025-04-27,Auffaellige Statistik,Kein Fehler gefunden,,1.55
WO-2025-00143,02:7F:E9:CE:D4:89,2025-04-24,2025-05-01,Kunde meldet Ausfall,Kein Fehler gefunden,,1.18
WO-2025-00139,02:89:2F:51:E1:CB,2025-04-24,2025-05-09,Kunde meldet Ausfall,Fehler behoben,Antenne,2.46
WO-2025-00147,0A:6D:A0:C8:2C:CB,2025-04-24,2025-05-11,Haeufige Neustarts,Fehler behoben,,2.06
WO-2025-00142,06:34:F7:8D:B4:C5,2025-04-25,2025-04-30,Haeufige Neustarts,Fehler behoben,,2.04
WO-2025-00144,06:FF:EC:2E:FA:5E,2025-04-25,2025-04-30,Zaehler nicht gelesen,Fehler behoben,,2.33
WO-2025-00145,0E:B6:B3:1D:8A:FB,2025-04-25,2025-05-02,Kunde meldet Ausfall,Fehler behoben,Gateway getauscht,1.6
WO-2025-00153,0E:8F:36:DA:B9:C2,2025-04-28,2025-05-13,Auffaellige Statistik,Kein Fehler gefunden,,1.87
WO-2025-00159,0E:AE:FE:AE:FB:09,2025-04-28,2025-05-02,Keine Verbindung,Kein Fehler gefunden,,0.86
WO-2025-00161,0E:D5:05:7E:CE:3F,2025-04-28,2025-05-10,Routinepruefung,Kein Fehler gefunden,,1.85
WO-2025-00164,02:30:EE:F7:24:35,2025-04-29,2025-05-04,Routinepruefung,Kein Fehler gefunden,,1.0
WO-2025-00160,02:31:4F:9A:91:68,2025-04-29,2025-05-02,Routinepruefung,Kein Fehler gefunden,,1.75
WO-2025-00157,0A:63:90:E0:FB:A4,2025-04-29,2025-05-11,Routinepruefung,Kein Fehler gefunden,,0.53
WO-2025-00162,0A:DD:02:AB:69:3D,2025-04-29,2025-05-08,Keine Verbindung,Kein Fehler gefunden,,0.79
WO-2025-00166,0E:3D:96:23:76:39,2025-04-29,2025-05-03,Routinepruefung,Kein Fehler gefunden,,1.46
WO-2025-00163,0E:41:CF:7F:74:D5,2025-04-29,2025-05-16,Auffaellige Statistik,Kein Fehler gefunden,,1.51
WO-2025-00165,0E:0C:3E:B7:91:5D,2025-04-30,2025-05-03,Routinepruefung,Kein Fehler gefunden,,1.3
WO-2025-00158,0E:BF:1B:27:CD:E1,2025-04-30,2025-05-08,Signal schwach,Kein Fehler gefunden,,0.6
WO-2025-00155,06:78:75:26:FE:B3,2025-05-01,2025-05-18,Haeufige Neustarts,Fehler behoben,Antenne,2.68
WO-2025-00167,06:87:F3:6E:02:C6,2025-05-01,2025-05-08,Signal schwach,Kein Fehler gefunden,,0.72
WO-2025-00154,0E:E9:49:79:50:EE,2025-05-01,2025-05-06,Routinepruefung,Kein Fehler gefunden,,1.11
WO-2025-00156,0E:5A:9C:EA:80:93,2025-05-02,2025-05-17,Zaehler nicht gelesen,Fehler behoben,,1.76
WO-2025-00172,02:57:E8:55:DB:CE,2025-05-05,2025-05-17,Signal schwach,Kein Fehler gefunden,,1.82
WO-2025-00179,0A:5E:96:44:93:74,2025-05-05,2025-05-18,Auffaellige Statistik,Kein Fehler gefunden,,1.45
WO-2025-00168,0A:A2:F2:CA:B5:0B,2025-05-05,2025-05-14,Haeufige Neustarts,Fehler behoben,Kabel,2.42
WO-2025-00174,0A:BD:2E:51:3F:79,2025-05-05,2025-05-13,Haeufige Neustarts,Fehler behoben,Gateway getauscht,3.27
WO-2025-00170,02:3A:DD:DE:CF:84,2025-05-06,2025-05-15,Keine Verbindung,Fehler behoben,Gateway getauscht,1.35
WO-2025-00175,0A:56:8E:79:FE:F6,2025-05-06,2025-05-23,Zaehler nicht gelesen,Fehler behoben,,3.46
WO-2025-00176,06:4E:66:B5:36:7B,2025-05-07,2025-05-13,Zaehler nicht gelesen,Kein Fehler gefunden,,1.82
WO-2025-00173,02:71:37:43:6C:87,2025-05-08,2025-05-21,Auffaellige Statistik,Kein Fehler gefunden,,0.93
WO-2025-00177,0A:68:DF:0B:3D:07,2025-05-08,2025-05-19,Routinepruefung,Kein Fehler gefunden,,1.23
WO-2025-00169,0E:1C:62:2E:61:BC,2025-05-08,2025-05-15,Haeufige Neustarts,Kein Fehler gefunden,,1.73
WO-2025-00178,02:D4:DF:EF:40:2A,2025-05-09,2025-05-19,Auffaellige Statistik,Kein Fehler gefunden,,0.97
WO-2025-00171,0A:5D:01:7E:40:1E,2025-05-09,2025-05-20,Haeufige Neustarts,Fehler behoben,Gateway getauscht,2.06
WO-2025-00187,02:98:0E:46:18:59,2025-05-12,2025-05-22,Signal schwach,Kein Fehler gefunden,,1.67
WO-2025-00188,06:B1:62:DC:93:E3,2025-05-12,2025-05-29,Haeufige Neustarts,Kein Fehler gefunden,,1.51
WO-2025-00186,02:DC:03:A0:F1:E6,2025-05-13,2025-05-16,Zaehler nicht gelesen,Kein Fehler gefunden,,1.39
WO-2025-00183,06:C0:F2:7E:81:0B,2025-05-13,2025-05-19,Signal schwach,Kein Fehler gefunden,,1.33
WO-2025-00181,0A:A9:05:1F:FF:FA,2025-05-13,2025-05-24,Haeufige Neustarts,Fehler behoben,,1.53
WO-2025-00180,0A:23:47:4F:19:44,2025-05-14,2025-05-21,Kunde meldet Ausfall,Kein Fehler gefunden,,1.25
WO-2025-00184,02:A8:02:92:CB:97,2025-05-15,2025-05-22,Auffaellige Statistik,Kein Fehler gefunden,,1.71
WO-2025-00182,0E:9D:C9:14:D8:DF,2025-05-15,2025-05-29,Keine Verbindung,Kein Fehler gefunden,,0.86
WO-2025-00185,0E:A0:44:7D:A9:1C,2025-05-16,2025-05-19,Haeufige Neustarts,Kein Fehler gefunden,,1.08
WO-2025-00198,02:BA:D9:19:85:5D,2025-05-19,2025-05-31,Auffaellige Statistik,Kein Fehler gefunden,,0.69
WO-2025-00191,02:4D:D3:A9:AD:CA,2025-05-20,2025-05-29,Keine Verbindung,Fehler behoben,Antenne,2.4
WO-2025-00190,06:0C:57:73:A6:1B,2025-05-20,2025-06-05,Keine Verbindung,Fehler behoben,Antenne,2.07
WO-2025-00193,0A:39:83:03:30:84,2025-05-20,2025-06-02,Signal schwach,Kein Fehler gefunden,,1.86
WO-2025-00201,02:14:58:26:10:3B,2025-05-21,2025-05-30,Haeufige Neustarts,Fehler behoben,,2.11
WO-2025-00196,0A:E2:1E:7A:17:E4,2025-05-21,2025-05-30,Signal schwach,Kein Fehler gefunden,,1.01
WO-2025-00194,02:2D:B4:7C:41:AC,2025-05-22,2025-06-05,Keine Verbindung,Fehler behoben,SIM-Karte,2.85
WO-2025-00199,06:AE:E1:81:F5:95,2025-05-22,2025-05-27,Haeufige Neustarts,Kein Fehler gefunden,,1.36
WO-2025-00200,0E:89:2C:46:A4:42,2025-05-22,2025-05-30,Keine Verbindung,Kein Fehler gefunden,,1.37
WO-2025-00189,02:C0:F4:5F:31:E7,2025-05-23,2025-06-02,Haeufige Neustarts,Fehler behoben,Antenne,1.59
WO-2025-00192,06:C6:76:19:09:5C,2025-05-23,2025-06-03,Haeufige Neustarts,Fehler behoben,Netzteil,2.62
WO-2025-00197,0A:66:3B:6B:4B:28,2025-05-23,2025-06-01,Routinepruefung,Kein Fehler gefunden,,1.7
WO-2025-00195,0E:F0:84:81:B3:33,2025-05-23,2025-06-05,Routinepruefung,Kein Fehler gefunden,,1.52
WO-2025-00208,0A:B5:F9:C2:1B:F8,2025-05-26,2025-06-08,Haeufige Neustarts,Fehler behoben,,2.93
WO-2025-00204,0A:FE:70:2B:B0:93,2025-05-26,2025-05-31,Keine Verbindung,Kein Fehler gefunden,,1.48
WO-2025-00207,0E:1B:6F:4D:BA:34,2025-05-27,2025-05-29,Routinepruefung,Kein Fehler gefunden,,0.71
WO-2025-00206,02:3A:66:3E:FD:87,2025-05-28,2025-06-09,Routinepruefung,Kein Fehler gefunden,,0.5
WO-2025-00213,06:C7:7F:EA:95:50,2025-05-28,2025-06-03,Auffaellige Statistik,Kein Fehler gefunden,,1.83
WO-2025-00203,0A:BE:42:BE:41:65,2025-05-28,2025-06-05,Routinepruefung,Kein Fehler gefunden,,0.79
WO-2025-00211,0A:F9:84:6E:92:DD,2025-05-28,2025-06-04,Kunde meldet Ausfall,Fehler behoben,Kabel,2.76
WO-2025-00210,0E:3D:06:A0:7E:94,2025-05-28,2025-05-31,Keine Verbindung,Kein Fehler gefunden,,0.91
WO-2025-00214,0E:5D:FC:F6:5A:D4,2025-05-28,2025-06-01,Signal schwach,Kein Fehler gefunden,,1.15
WO-2025-00212,0A:6D:A0:C8:2C:CB,2025-05-29,2025-06-01,Kunde meldet Ausfall,Kein Fehler gefunden,,1.31
WO-2025-00202,0A:F5:1D:7D:0F:73,2025-05-29,2025-06-02,Zaehler nicht gelesen,Fehler behoben,Kabel,2.5
